PCCO;STRAATNAAM;HSNR.;TOEVOEG;POSTCD;PLAATS;STATUS
100510032 ;MEIJE;32;;2421NB;NIEUWKOOP;O
100510042 ;MEIJE;42;;2421NB;NIEUWKOOP;O
100510076 ;MEIJE;76;;2421NB;NIEUWKOOP;O
100510078 ;MEIJE;78;;2421NB;NIEUWKOOP;O
100510086 ;MEIJE;86;;2421NB;NIEUWKOOP;O
100510130 ;MEIJE;130;;2421NB;NIEUWKOOP;O
100510164L;MEIJE;164;L;2421NB;NIEUWKOOP;O
100510166A;MEIJE;166;A;2421NB;NIEUWKOOP;O
100510170 ;MEIJE;170;;2421NB;NIEUWKOOP;O
100510198 ;MEIJE;198;;2421NB;NIEUWKOOP;O
100550031 ;MEIJE;168;31;2421NB;NIEUWKOOP;O
100550035 ;MEIJE;168;35;2421NB;NIEUWKOOP;O
100550039 ;MEIJE;168;39;2421NB;NIEUWKOOP;O
911110001A;ROTTERDAMSEWEG;1;A;2871GA;SCHOONHOVEN;O
911300093 ;PASTEURWEG;93;;2871JM;SCHOONHOVEN;O
920100006 ;DE DIAMANT;6;;2872ZZ;SCHOONHOVEN;O
920100008 ;DE DIAMANT;8;;2872ZZ;SCHOONHOVEN;O
920100014 ;DE DIAMANT;14;;2872ZZ;SCHOONHOVEN;O
920400023 ;BROEIKWEG;23;;2871RM;SCHOONHOVEN;O
920500010 ;PLATINASTRAAT;10;;2742ZX;SCHOONHOVEN;O
921100007 ;DE SMARAGD;7;;2872ZT;SCHOONHOVEN;O
921100015 ;DE SMARAGD;15;;2872ZT;SCHOONHOVEN;O
921100017 ;DE SMARAGD;17;;2872ZT;SCHOONHOVEN;O
921200012 ;GOUDSTRAAT;12;;2872ZS;SCHOONHOVEN;O
B15010042 ;KERKWEG;42;;2825BT;BERKENWOUDE;O
B15010044 ;KERKWEG;44;;2825BT;BERKENWOUDE;O
B15010045 ;KERKWEG;45;;2825BR;BERKENWOUDE;O
B15010045A;KERKWEG;45;A;2825BR;BERKENWOUDE;O
B15010045B;KERKWEG;45;B;2825BR;BERKENWOUDE;O
B15010046 ;KERKWEG;46;;2825BT;BERKENWOUDE;O
B15010047 ;KERKWEG;47;;2825BR;BERKENWOUDE;O
B15010048 ;KERKWEG;48;;2825BT;BERKENWOUDE;O
B15010049 ;KERKWEG;49;;2825BR;BERKENWOUDE;O
B15010050 ;KERKWEG;50;;2825BT;BERKENWOUDE;O
B15010051 ;KERKWEG;51;;2825BR;BERKENWOUDE;O
B15010052 ;KERKWEG;52;;2825BT;BERKENWOUDE;O
B15010053 ;KERKWEG;53;;2825BR;BERKENWOUDE;O
B15010054 ;KERKWEG;54;;2825BT;BERKENWOUDE;O
B15010057 ;KERKWEG;57;;2825BR;BERKENWOUDE;O
B15010058 ;KERKWEG;58;;2825BT;BERKENWOUDE;O
B15010059 ;KERKWEG;59;;2825BR;BERKENWOUDE;O
B15010060 ;KERKWEG;60;;2825BT;BERKENWOUDE;O
B15010061 ;KERKWEG;61;;2825BR;BERKENWOUDE;O
B15010062 ;KERKWEG;62;;2825BT;BERKENWOUDE;O
B15010063 ;KERKWEG;63;;2825BR;BERKENWOUDE;O
