PCCO;STRAATNAAM;HSNR.;TOEVOEG;POSTCD;PLAATS;STATUS
;;;;;;
920500010A;PLATINASTRAAT;10;A;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010B;PLATINASTRAAT;10;B;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010C;PLATINASTRAAT;10;C;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010D;PLATINASTRAAT;10;D;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010E;PLATINASTRAAT;10;E;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010F;PLATINASTRAAT;10;F;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010H;PLATINASTRAAT;10;H;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010J;PLATINASTRAAT;10;J;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010K;PLATINASTRAAT;10;K;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010M;PLATINASTRAAT;10;M;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010N;PLATINASTRAAT;10;N;2742ZX;SCHOONHOVEN;C
;;;;;;C
920500010P;PLATINASTRAAT;10;P;2742ZX;SCHOONHOVEN;C
;;;;;;C
921200014 ;GOUDSTRAAT;14;;2872ZS;SCHOONHOVEN;C
;;;;;;C
D47110048 ;MEIJE;48;;2411PJ;BODEGRAVEN;C
;;;;;;C
D47110065 ;MEIJE;65;;2411PK;BODEGRAVEN;C
;;;;;;C
D47110115 ;MEIJE;115;;2411PM;BODEGRAVEN;C
;;;;;;C
D47110119 ;MEIJE;119;;2411PM;BODEGRAVEN;C
;;;;;;C
E30010031 ;MIDDELBURGSEWEG;31;;2771NH;BOSKOOP;C
;;;;;;C
E30010033 ;MIDDELBURGSEWEG;33;;2771NH;BOSKOOP;C
;;;;;;C
E30010035 ;MIDDELBURGSEWEG;35;;2771NH;BOSKOOP;C
;;;;;;C
E30010037 ;MIDDELBURGSEWEG;37;;2771NH;BOSKOOP;C
;;;;;;C
E30010039 ;MIDDELBURGSEWEG;39;;2771NH;BOSKOOP;C
;;;;;;C
E30010041 ;MIDDELBURGSEWEG;41;;2771NH;BOSKOOP;C
;;;;;;C
E30010043 ;MIDDELBURGSEWEG;43;;2771NH;BOSKOOP;C
;;;;;;C
E30010045 ;MIDDELBURGSEWEG;45;;2771NH;BOSKOOP;C
;;;;;;C
E30010047 ;MIDDELBURGSEWEG;47;;2771NH;BOSKOOP;C
;;;;;;C
E30010049 ;MIDDELBURGSEWEG;49;;2771NH;BOSKOOP;C
;;;;;;C
E30010051 ;MIDDELBURGSEWEG;51;;2771NH;BOSKOOP;C
;;;;;;C
E30010053 ;MIDDELBURGSEWEG;53;;2771NH;BOSKOOP;C
;;;;;;C
E30010057 ;MIDDELBURGSEWEG;57;;2771NH;BOSKOOP;C
;;;;;;C
E30010059 ;MIDDELBURGSEWEG;59;;2771NH;BOSKOOP;C
;;;;;;C
E30010061 ;MIDDELBURGSEWEG;61;;2771NH;BOSKOOP;C
;;;;;;C
E30010063 ;MIDDELBURGSEWEG;63;;2771NH;BOSKOOP;C
;;;;;;C
E30010065 ;MIDDELBURGSEWEG;65;;2771NH;BOSKOOP;C
;;;;;;C
E30010067 ;MIDDELBURGSEWEG;67;;2771NH;BOSKOOP;C
;;;;;;C
E30010069 ;MIDDELBURGSEWEG;69;;2771NH;BOSKOOP;C
;;;;;;C
E30010071 ;MIDDELBURGSEWEG;71;;2771NH;BOSKOOP;C
;;;;;;C
E30010073 ;MIDDELBURGSEWEG;73;;2771NH;BOSKOOP;C
;;;;;;C
E30010075 ;MIDDELBURGSEWEG;75;;2771NH;BOSKOOP;C
;;;;;;C
